strain	accession	source	related_id	completeness	length	quality	host	country	division	city	date	originating_lab	submission date	submitting_lab
hCoV-19/Turkey/HSGM-7718/2020	EPI_ISL_428719	GISAID		Complete	29638	High	Homo sapiens	Turkey		Siirt	2020-03-21	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-5770/2020	EPI_ISL_428718	GISAID		Complete	29638	High	Homo sapiens	Turkey		Kocaeli	2020-03-19	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8001/2020	EPI_ISL_428720	GISAID		Complete	29638	High	Homo sapiens	Turkey		Ankara	2020-03-21	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8010/2020	EPI_ISL_428722	GISAID		Complete	29638	High	Homo sapiens	Turkey		Balikesir	2020-03-22	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8003/2020	EPI_ISL_428721	GISAID		Complete	29638	High	Homo sapiens	Turkey		Ankara	2020-03-21	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8964/2020	EPI_ISL_428723	GISAID		Complete	29638	High	Homo sapiens	Turkey		Aksaray	2020-03-22	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-5516/2020	EPI_ISL_428713	GISAID		Complete	29638	High	Homo sapiens	Turkey		Ankara	2020-03-18	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-4706/2020	EPI_ISL_428712	GISAID		Complete	29638	High	Homo sapiens	Turkey		Karaman	2020-03-17	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-5624/2020	EPI_ISL_428715	GISAID		Complete	29638	High	Homo sapiens	Turkey		Nevsehir	2020-03-18	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-5602/2020	EPI_ISL_428714	GISAID		Complete	29638	High	Homo sapiens	Turkey		Kastamonu	2020-03-18	Ministry of Health Turkey	2020-04-21	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-10241/2020	EPI_ISL_429871	GISAID		Complete	29638	High	Homo sapiens	Turkey		Ankara	2020-03-23	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8990/2020	EPI_ISL_429870	GISAID		Complete	29638	High	Homo sapiens	Turkey		Sakarya	2020-03-22	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-11520/2020	EPI_ISL_429873	GISAID		Complete	29638	High	Homo sapiens	Turkey		Kocaeli	2020-03-23	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-11518/2020	EPI_ISL_429872	GISAID		Complete	29638	High	Homo sapiens	Turkey		Kocaeli	2020-03-25	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8970/2020	EPI_ISL_429862	GISAID		Complete	29638	High	Homo sapiens	Turkey		Ankara	2020-03-22	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8968/2020	EPI_ISL_429861	GISAID		Complete	29638	High	Homo sapiens	Turkey		Ankara	2020-03-22	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8979/2020	EPI_ISL_429864	GISAID		Complete	29638	High	Homo sapiens	Turkey		Sakarya	2020-03-22	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8975/2020	EPI_ISL_429863	GISAID		Complete	29638	High	Homo sapiens	Turkey		Sakarya	2020-03-22	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-4236/2020	EPI_ISL_429866	GISAID		Complete	29638	High	Homo sapiens	Turkey		Afyon	2020-03-16	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-8992/2020	EPI_ISL_429865	GISAID		Complete	29638	High	Homo sapiens	Turkey		Canakkale	2020-03-18	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-4598/2020	EPI_ISL_429868	GISAID		Complete	29638	High	Homo sapiens	Turkey		Eskisehir	2020-03-17	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-4505/2020	EPI_ISL_429867	GISAID		Complete	29638	High	Homo sapiens	Turkey		Balikesir	2020-03-17	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-4701/2020	EPI_ISL_429869	GISAID		Complete	29638	High	Homo sapiens	Turkey		Konya	2020-03-17	Ministry of Health Turkey	2020-04-24	Ministry of Health Turkey
